"","Team","Home.Games","Home.Wins","Home.Draws","Home.Losses","Home.Scored","Home.Allowed","Home.Goal.Difference","Home.Points","Away.Games","Away.Wins","Away.Draws","Away.Losses","Away.Scored","Away.Allowed","Away.Goal.Difference","Away.Points","Games","Wins","Draws","Losses","Scored","Allowed","Goal.Difference","Points"
"10","Man City",19,17,1,1,63,13,50,52,19,10,4,5,39,24,15,34,38,27,5,6,102,37,65,86
"9","Liverpool",19,16,1,2,53,18,35,49,19,10,5,4,48,32,16,35,38,26,6,6,101,50,51,84
"4","Chelsea",19,15,3,1,43,11,32,48,19,10,4,5,28,16,12,34,38,25,7,6,71,27,44,82
"1","Arsenal",19,13,5,1,36,11,25,44,19,11,2,6,32,30,2,35,38,24,7,7,68,41,27,79
"6","Everton",19,13,3,3,38,19,19,42,19,8,6,5,22,19,3,30,38,21,9,8,60,38,22,72
"15","Spurs",19,11,3,5,30,23,7,36,19,10,3,6,25,28,-3,33,38,21,6,11,55,51,4,69
"11","Man Utd",19,9,3,7,29,21,8,30,19,10,4,5,35,22,13,34,38,19,7,12,64,43,21,64
"14","Southampton",19,8,6,5,32,23,9,30,19,7,5,7,22,23,-1,26,38,15,11,12,54,46,8,56
"16","Stoke",19,10,6,3,27,17,10,36,19,3,5,11,18,35,-17,14,38,13,11,14,45,52,-7,50
"12","Newcastle",19,8,3,8,23,28,-5,27,19,7,1,11,20,31,-11,22,38,15,4,19,43,59,-16,49
"5","Crystal Palace",19,8,3,8,18,23,-5,27,19,5,3,11,15,25,-10,18,38,13,6,19,33,48,-15,45
"18","Swansea",19,6,5,8,33,26,7,23,19,5,4,10,21,28,-7,19,38,11,9,18,54,54,0,42
"20","West Ham",19,7,3,9,24,25,-1,24,19,4,4,11,15,25,-10,16,38,11,7,20,39,50,-11,40
"17","Sunderland",19,5,3,11,21,27,-6,18,19,5,5,9,20,33,-13,20,38,10,8,20,41,60,-19,38
"2","Aston Villa",19,6,3,10,22,29,-7,21,19,4,5,10,17,32,-15,17,38,10,8,20,39,61,-22,38
"8","Hull",19,7,4,8,20,21,-1,25,19,3,3,13,18,32,-14,12,38,10,7,21,38,53,-15,37
"19","West Brom",19,4,9,6,24,27,-3,21,19,3,6,10,19,32,-13,15,38,7,15,16,43,59,-16,36
"13","Norwich",19,6,6,7,17,18,-1,24,19,2,3,14,11,44,-33,9,38,8,9,21,28,62,-34,33
"7","Fulham",19,5,3,11,24,38,-14,18,19,4,2,13,16,47,-31,14,38,9,5,24,40,85,-45,32
"3","Cardiff",19,5,5,9,20,35,-15,20,19,2,4,13,12,39,-27,10,38,7,9,22,32,74,-42,30
